espn_game_id,away_team,home_team,snapshots,signal_snapshots,first_signal_bucket,last_signal_bucket,first_signal_side,last_signal_side,signal_flips,best_observed_decimal,best_observed_ev
401858423,UMass Minutemen,Rutgers Scarlet Knights,2,0,,,,,0,,
401867866,Murray State Racers,Middle Tennessee Blue Raiders,2,0,,,,,0,,
401870763,Sam Houston State Bearkats,Troy Trojans,2,0,,,,,0,,
401868316,Southeastern Louisiana Lions,South Alabama Jaguars,2,0,,,,,0,,
401856660,Clemson Tigers,LSU Tigers,2,0,,,,,0,,
401856662,UL Monroe Warhawks,Mississippi State Bulldogs,2,0,,,,,0,,
401856637,Florida Atlantic Owls,Florida Gators,2,0,,,,,0,,
401869142,Lamar Cardinals,Louisiana Ragin Cajuns,2,0,,,,,0,,
401858431,South Dakota State Jackrabbits,Northwestern Wildcats,2,0,,,,,0,,
401858428,Western Michigan Broncos,Michigan Wolverines,2,0,,,,,0,,
401860880,Idaho State Bengals,Utah State Aggies,2,0,,,,,0,,
401868356,Alcorn State Braves,Southern Mississippi Golden Eagles,2,0,,,,,0,,
401860878,Wyoming Cowboys,Colorado State Rams,2,0,,,,,0,,
401862695,Arkansas State Red Wolves,Memphis Tigers,2,0,,,,,0,,
401856669,Austin Peay Governors,Vanderbilt Commodores,2,0,,,,,0,,
401870790,Mercyhurst Lakers,New Mexico State Aggies,2,0,,,,,0,,
401868170,Charleston Southern Buccaneers,Georgia Southern Eagles,2,0,,,,,0,,
401868140,Eastern Kentucky Colonels,Jacksonville State Gamecocks,2,0,,,,,0,,
401862699,Florida International Panthers,South Florida Bulls,2,0,,,,,0,,
401862697,Houston Baptist Huskies,Rice Owls,2,0,,,,,0,,
401856773,Northern Arizona Lumberjacks,Arizona Wildcats,2,0,,,,,0,,
401864498,Central Michigan Chippewas,New Mexico Lobos,2,0,,,,,0,,
401864497,UNLV Rebels,Hawaii Rainbow Warriors,2,1,D5,D5,home,home,0,2.35,0.0419724898513449
401858210,UCLA Bruins,California Golden Bears,2,0,,,,,0,,
401864432,Western Kentucky Hilltoppers,Nevada Wolf Pack,2,0,,,,,0,,
401858212,SMU Mustangs,Florida State Seminoles,2,0,,,,,0,,
401858426,Northern Illinois Huskies,Iowa Hawkeyes,2,0,,,,,0,,
401856772,Oklahoma State Cowboys,Tulsa Golden Hurricane,2,0,,,,,0,,
401858429,Toledo Rockets,Michigan State Spartans,2,2,D5,D4,away,away,0,4.4,0.090999123783775
401858436,Fresno State Bulldogs,USC Trojans,2,0,,,,,0,,
401858206,Miami Hurricanes,Stanford Cardinal,2,0,,,,,0,,
401856634,East Carolina Pirates,Alabama Crimson Tide,2,0,,,,,0,,
401866410,Tarleton State Texans,Bowling Green Falcons,2,0,,,,,0,,
401856780,Coastal Carolina Chanticleers,West Virginia Mountaineers,2,0,,,,,0,,
401856778,Oregon State Beavers,Houston Cougars,2,0,,,,,0,,
401869960,Liberty Flames,James Madison Dukes,2,0,,,,,0,,
401866623,North Carolina A&T Aggies,Georgia State Panthers,2,0,,,,,0,,
401864495,San Jose State Spartans,Eastern Michigan Eagles,2,0,,,,,0,,
401858204,Akron Zips,Wake Forest Demon Deacons,2,0,,,,,0,,
401866409,Albany,Buffalo Bulls,2,0,,,,,0,,
401864424,Merrimack Warriors,Delaware Blue Hens,2,0,,,,,0,,
401861962,Lafayette Leopards,UConn Huskies,2,0,,,,,0,,
401864425,West Georgia Wolves,Kennesaw State Owls,2,0,,,,,0,,
401856776,Colorado Buffaloes,Georgia Tech Yellow Jackets,2,2,D4,D3,away,away,0,3.2,0.0739550509983126
401856768,Idaho Vandals,Utah Utes,2,0,,,,,0,,
401858424,UAB Blazers,Illinois Fighting Illini,2,0,,,,,0,,
401858207,Miami (OH) RedHawks,Pittsburgh Panthers,2,0,,,,,0,,
401856777,Boston College Eagles,Cincinnati Bearcats,2,0,,,,,0,,
401862694,Citadel Bulldogs,Charlotte 49ers,2,0,,,,,0,,
401858209,Tulane Green Wave,Duke Blue Devils,2,2,D6,D5,away,away,0,4.0,0.0994541465270368
401858434,Marshall Thundering Herd,Penn State Nittany Lions,2,0,,,,,0,,
401862696,Towson Tigers,Navy Midshipmen,2,0,,,,,0,,
401856667,Texas State Bobcats,Texas Longhorns,2,0,,,,,0,,
401862700,UT Rio Grande Valley Vaqueros,UTSA Roadrunners,2,0,,,,,0,,
401858433,Boise State Broncos,Oregon Ducks,2,0,,,,,0,,
401856636,Baylor Bears,Auburn Tigers,2,0,,,,,0,,
401858430,Ohio Bobcats,Nebraska Cornhuskers,2,0,,,,,0,,
401858208,New Hampshire Wildcats,Syracuse Orange,2,0,,,,,0,,
401856665,Kent State Golden Flashes,South Carolina Gamecocks,2,0,,,,,0,,
401864496,Duquesne Dukes,Air Force Falcons,2,0,,,,,0,,
401856779,Southeast Missouri State Redhawks,Iowa State Cyclones,2,0,,,,,0,,
401856659,Youngstown St Penguins,Kentucky Wildcats,2,0,,,,,0,,
401862698,Rhode Island Rams,Temple Owls,2,0,,,,,0,,
401866627,Maine Black Bears,Appalachian State Mountaineers,2,0,,,,,0,,
401858291,Miami Hurricanes,Notre Dame Fighting Irish,1,0,,,,,0,,
401856788,Iowa State Cyclones,Iowa Hawkeyes,1,0,,,,,0,,
401856682,Ohio State Buckeyes,Texas Longhorns,1,0,,,,,0,,
401856686,Georgia Bulldogs,Arkansas Razorbacks,1,0,,,,,0,,
401856688,LSU Tigers,Ole Miss Rebels,1,0,,,,,0,,
401856782,Oregon Ducks,Oklahoma State Cowboys,1,0,,,,,0,,
401856717,Texas Longhorns,Oklahoma Sooners,1,0,,,,,0,,
401856712,Georgia Bulldogs,Alabama Crimson Tide,1,0,,,,,0,,
401858488,Ohio State Buckeyes,Indiana Hoosiers,1,0,,,,,0,,
