earlier_bucket,later_bucket,persistent_signals,mean_earlier_price_advantage,earlier_price_better_rate,mean_ev_change_later_minus_earlier
D8+,D7,0,,,
D8+,D6,0,,,
D8+,D5,0,,,
D8+,D4,0,,,
D8+,D3,0,,,
D8+,D2,0,,,
D8+,D1,0,,,
D8+,D0,0,,,
D7,D6,0,,,
D7,D5,0,,,
D7,D4,0,,,
D7,D3,0,,,
D7,D2,0,,,
D7,D1,0,,,
D7,D0,0,,,
D6,D5,1,0.0,0.0,0.0
D6,D4,1,0.08108108108108092,1.0,-0.007776895835633596
D6,D3,1,0.09589041095890405,1.0,-0.01841543654909289
D6,D2,1,0.11111111111111116,1.0,-0.03322418600084549
D6,D1,1,0.08108108108108092,1.0,-0.0036066870973403
D6,D0,1,0.06666666666666665,1.0,-0.03379050503086439
D5,D4,7,0.01450355536688465,0.42857142857142855,-0.0011426756465575721
D5,D3,6,0.046015008492059715,0.6666666666666666,-0.014419440524690815
D5,D2,6,0.04511188123047958,0.6666666666666666,-0.013404525623594501
D5,D1,5,0.04716247121907489,0.6,-0.007699822668727363
D5,D0,5,0.03289848206707322,0.6,-0.0007288340525247239
D4,D3,7,0.021376754427410653,0.8571428571428571,-0.0067317747806889695
D4,D2,6,0.03165828590356897,0.8333333333333334,-0.01146378884746215
D4,D1,6,0.019907917903200918,0.5,-0.001194779170896252
D4,D0,6,0.00979133224365288,0.3333333333333333,0.004984652747281315
D3,D2,7,0.013464406427440687,0.2857142857142857,-0.002790834919557531
D3,D1,7,0.011516419147820787,0.5714285714285714,0.0010522069845493112
D3,D0,7,0.0029276276381990296,0.5714285714285714,0.006631536859422069
D2,D1,7,0.015476276505688264,0.42857142857142855,-0.012493271689860891
D2,D0,7,0.016455056632521083,0.42857142857142855,-0.009560532545993447
D1,D0,8,0.0015914576614641796,0.5,0.0028438528043905377
